EVT,ACRES,PERCENT,RUNNING PERCENT
Northern Hardwoods Forest,332433.678,43.95985675,43.95985675
Pine-Hemlock-Hardwood Forest,57272.67,7.573535823,51.53339257
Alkaline Conifer-Hardwood Swamp,52118.274,6.89193668,58.42532926
Boreal-Conifer Acidic Swamp and Treed Poor Fen,44560.062,5.892465391,64.31779465
Sub-boreal Mesic Balsam Fir-Spruce Forest,36791.394,4.865164142,69.18295879
Pine-Hemlock Forest,35819.922,4.736700113,73.9196589
Open Water,34544.088,4.567988326,78.48764723
Jack Pine-Red Pine Forest,23620.134,3.123443188,81.61109041
Sub-boreal Aspen-Birch Forest,22460.406,2.970084849,84.58117526
Developed-Roads,15384.156,2.034346514,86.61552178
Recently Logged-Tree Cover,10047.942,1.328704401,87.94422618
Recently Logged-Herb and Grass Cover,9957.144,1.316697594,89.26092377
Northern Pine-(Oak) Forest,9146.4,1.209487667,90.47041144
Northern & Central Ruderal Meadow,8561.652,1.132162655,91.6025741
Northern Pine Forest,6031.74,0.797616018,92.40019011
Northeastern North American Temperate Forest Plantation,5757.126,0.761302031,93.16149214
Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,5171.046,0.68380088,93.84529302
Eastern Cool Temperate Urban Deciduous Forest,4029.522,0.532849773,94.3781428
Developed-Low Intensity,3537.57,0.467795776,94.84593857
Eastern Cool Temperate Developed Ruderal Deciduous Forest,3183.48,0.420972164,95.26691074
Eastern Cool Temperate Urban Mixed Forest,3083.802,0.407791097,95.67470183
Wet Meadow,2433.786,0.321835274,95.99653711
Recently Logged-Shrub Cover,2309.022,0.305336923,96.30187403
Developed-Medium Intensity,2289.486,0.302753551,96.60462758
Freshwater Marsh,2163.39,0.286079061,96.89070664
Shrub Swamp,2147.184,0.283936037,97.17464268
Acidic Rocky Outcrop Woodland,1960.26,0.259217867,97.43386055
Hardwood Forest,1940.724,0.256634495,97.69049504
Eastern Cool Temperate Urban Shrubland,1555.998,0.205759686,97.89625473
Northern Oak Forest,1516.038,0.200475517,98.09673024
Eastern Cool Temperate Developed Ruderal Evergreen Forest,1435.008,0.189760395,98.28649064
Boreal-Bog,1414.584,0.187059598,98.47355024
Eastern Cool Temperate Urban Herbaceous,1355.754,0.179280126,98.65283036
Northern & Central Ruderal Shrubland,1303.14,0.172322636,98.825153
Developed-High Intensity,1223.664,0.16181301,98.98696601
Floodplain Forest,1123.986,0.148631943,99.13559795
Pine Barrens,1101.12,0.145608224,99.28120618
Eastern Cool Temperate Developed Ruderal Grassland,1097.568,0.14513852,99.4263447
Eastern Cool Temperate Urban Evergreen Forest,1053.612,0.139325934,99.56567063
Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,749.472,0.099107533,99.66477816
Great Lakes Wooded Dune and Swale,368.964,0.048790498,99.71356866
Boreal-Acidic Basin Fen,349.872,0.046265839,99.7598345
Eastern Cool Temperate Pasture and Hayland,258.852,0.034229675,99.79406418
Eastern Cool Temperate Close Grown Crop,238.872,0.031587591,99.82565177
Eastern Cool Temperate Developed Ruderal Shrubland,229.104,0.030295905,99.85594767
Acidic Rocky Outcrop Shrubland,190.476,0.025187874,99.88113554
Northern & Central Native Ruderal Forest,152.514,0.020167913,99.90130346
Oak Barrens,93.462,0.012359085,99.91366254
Alkaline Fen,79.476,0.010509626,99.92417217
Recently Burned-Herb and Grass Cover,79.254,0.010480269,99.93465244
Pine-Oak Barrens,69.708,0.00921794,99.94387038
Sub-boreal Dry-Mesic Pine-Black Spruce Forest,62.382,0.008249176,99.95211955
Eastern Cool Temperate Row Crop,54.834,0.007251055,99.95937061
Northern Great Lakes Coastal Marsh,43.068,0.00569516,99.96506577
Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,40.626,0.005372239,99.97043801
Eastern Cool Temperate Fallow/Idle Cropland,34.854,0.00460897,99.97504698
Eastern Cool Temperate Developed Ruderal Shrub Wetland,29.082,0.003845701,99.97889268
Acidic Cliff and Talus,21.312,0.002818224,99.9817109
Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,21.312,0.002818224,99.98452913
Floodplain Shrubland,18.204,0.002407233,99.98693636
Recently Disturbed Other-Herb and Grass Cover,16.65,0.002201737,99.9891381
Great Lakes Dune,15.984,0.002113668,99.99125176
Northern Great Lakes Interdunal Wetland,12.21,0.001614607,99.99286637
Eastern Cool Temperate Wheat,11.988,0.001585251,99.99445162
Eastern Cool Temperate Developed Ruderal Mixed Forest,10.212,0.001350399,99.99580202
Great Lakes Acidic Rocky Shore and Cliff,7.326,0.000968764,99.99677079
Northern & Central Ruderal Wet Meadow & Marsh,6.216,0.000821982,99.99759277
Recently Disturbed Other-Tree Cover,5.55,0.000733912,99.99832668
Eastern Cool Temperate Orchard,3.996,0.000528417,99.9988551
Northern & Central Native Ruderal Flooded & Swamp Forest,3.108,0.000410991,99.99926609
Great Lakes Dune Grassland,2.886,0.000381634,99.99964772
Recently Disturbed Other-Shrub Cover,1.776,0.000234852,99.99988257
Recently Burned-Shrub Cover,0.444,5.87E-05,99.99994129
Recently Burned-Tree Cover,0.222,2.94E-05,99.99997064
North-Central Interior Maple-Basswood Forest,0.222,2.94E-05,100
