source,target ,value
Boreal Acidic Peatland Systems-Historical,Boreal-Bog,1
Boreal Acidic Peatland Systems-Historical,Boreal-Conifer Acidic Swamp and Treed Poor Fen,37
Boreal Acidic Peatland Systems-Historical,Jack Pine-Red Pine Forest,3
Boreal Acidic Peatland Systems-Historical,Alkaline Conifer-Hardwood Swamp,31
Boreal Acidic Peatland Systems-Historical,Freshwater Marsh,2
Boreal Acidic Peatland Systems-Historical,Northern Hardwoods Forest,10
Boreal Acidic Peatland Systems-Historical,Pine-Hemlock Forest,6
Boreal Acidic Peatland Systems-Historical,Shrub Swamp,2
Boreal Acidic Peatland Systems-Historical,Sub-boreal Mesic Balsam Fir-Spruce Forest,6
Boreal Acidic Peatland Systems-Historical,Wet Meadow,2
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Boreal-Conifer Acidic Swamp and Treed Poor Fen,4
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Developed-Roads,3
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Jack Pine-Red Pine Forest,8
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Alkaline Conifer-Hardwood Swamp,4
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Northern Hardwoods Forest,25
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Northern Pine-(Oak) Forest,3
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Pine-Hemlock Forest,14
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Pine-Hemlock-Hardwood Forest,19
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Sub-boreal Aspen-Birch Forest,3
Boreal White Spruce-Fir-Hardwood Forest - Inland-Historical,Sub-boreal Mesic Balsam Fir-Spruce Forest,20
Alkaline Conifer-Hardwood Swamp-Historical,Boreal-Conifer Acidic Swamp and Treed Poor Fen,19
Alkaline Conifer-Hardwood Swamp-Historical,Jack Pine-Red Pine Forest,2
Alkaline Conifer-Hardwood Swamp-Historical,Alkaline Conifer-Hardwood Swamp,43
Alkaline Conifer-Hardwood Swamp-Historical,Northern Hardwoods Forest,14
Alkaline Conifer-Hardwood Swamp-Historical,Northern Pine Forest,1
Alkaline Conifer-Hardwood Swamp-Historical,Pine-Hemlock Forest,10
Alkaline Conifer-Hardwood Swamp-Historical,Pine-Hemlock-Hardwood Forest,2
Alkaline Conifer-Hardwood Swamp-Historical,Shrub Swamp,1
Alkaline Conifer-Hardwood Swamp-Historical,Sub-boreal Aspen-Birch Forest,2
Alkaline Conifer-Hardwood Swamp-Historical,Sub-boreal Mesic Balsam Fir-Spruce Forest,6
Northern Hardwoods Forest - Hemlock-Historical,Developed-Roads,3
Northern Hardwoods Forest - Hemlock-Historical,Jack Pine-Red Pine Forest,1
Northern Hardwoods Forest - Hemlock-Historical,Northern Hardwoods Forest,78
Northern Hardwoods Forest - Hemlock-Historical,Northern Pine-(Oak) Forest,1
Northern Hardwoods Forest - Hemlock-Historical,Pine-Hemlock Forest,2
Northern Hardwoods Forest - Hemlock-Historical,Pine-Hemlock-Hardwood Forest,7
Northern Hardwoods Forest - Hemlock-Historical,Sub-boreal Aspen-Birch Forest,3
Northern Hardwoods Forest - Hemlock-Historical,Sub-boreal Mesic Balsam Fir-Spruce Forest,3
Northern Hardwoods Forest - Hemlock-Historical,Recently Logged-Herb and Grass Cover,2
Northern Hardwoods Forest - Hemlock-Historical,Recently Logged-Tree Cover,1
Pine-Hemlock-Hardwood Forest-Historical,Developed-Roads,2
Pine-Hemlock-Hardwood Forest-Historical,Acidic Rocky Outcrop Woodland,1
Pine-Hemlock-Hardwood Forest-Historical,Jack Pine-Red Pine Forest,2
Pine-Hemlock-Hardwood Forest-Historical,Northern Hardwoods Forest,47
Pine-Hemlock-Hardwood Forest-Historical,Northern Pine Forest,1
Pine-Hemlock-Hardwood Forest-Historical,Northern Pine-(Oak) Forest,3
Pine-Hemlock-Hardwood Forest-Historical,Pine-Hemlock Forest,11
Pine-Hemlock-Hardwood Forest-Historical,Pine-Hemlock-Hardwood Forest,27
Pine-Hemlock-Hardwood Forest-Historical,Sub-boreal Aspen-Birch Forest,3
Pine-Hemlock-Hardwood Forest-Historical,Sub-boreal Mesic Balsam Fir-Spruce Forest,4
