BPS_NAME,EVT_NAME,Percent
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Northern Hardwoods Forest,77.83%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,6.59%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,2.75%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Developed-Roads,2.73%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,2.63%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Pine-Hemlock Forest,1.87%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Recently Logged-Herb and Grass Cover,1.73%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Recently Logged-Tree Cover,1.46%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian Jack Pine-Red Pine Forest,1.29%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Laurentian-Acadian Northern Pine-(Oak) Forest,1.13%
Laurentian-Acadian Northern Hardwoods Forest - Hemlock Total,,50.67%
Boreal Acidic Peatland Systems,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,37.04%
Boreal Acidic Peatland Systems,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,30.74%
Boreal Acidic Peatland Systems,Laurentian-Acadian Northern Hardwoods Forest,9.94%
Boreal Acidic Peatland Systems,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,6.49%
Boreal Acidic Peatland Systems,Laurentian-Acadian Pine-Hemlock Forest,6.20%
Boreal Acidic Peatland Systems,Laurentian Jack Pine-Red Pine Forest,2.68%
Boreal Acidic Peatland Systems,Laurentian-Acadian Wet Meadow,2.03%
Boreal Acidic Peatland Systems,Laurentian-Acadian Freshwater Marsh,1.80%
Boreal Acidic Peatland Systems,Laurentian-Acadian Shrub Swamp,1.72%
Boreal Acidic Peatland Systems,Boreal-Laurentian Bog,1.35%
Boreal Acidic Peatland Systems Total,,12.00%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,46.65%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,26.74%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Pine-Hemlock Forest,11.13%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,3.75%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Northern Pine-(Oak) Forest,2.95%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,2.61%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian Jack Pine-Red Pine Forest,1.91%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Developed-Roads,1.90%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian Acidic Rocky Outcrop Woodland,1.27%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Laurentian-Acadian Northern Pine Forest,1.10%
Laurentian-Acadian Pine-Hemlock-Hardwood Forest Total,,11.96%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,42.71%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,19.04%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Northern Hardwoods Forest,14.00%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Pine-Hemlock Forest,9.74%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,6.27%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian Jack Pine-Red Pine Forest,2.45%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,1.79%
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1.56%
