VALUE,COUNT,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL
1,155604,Open Water,na,Open Water,Open Water,Open Water,Water
2,4217,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE
3,6051,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,UN
4,2285,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,E
5,2971,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,UN
6,5351,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN
7,8693,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,E
8,9250,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,E
9,43826,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,E
10,4839,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN
11,27262,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,D
12,273110,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,E
13,759,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN
14,312,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,E
15,3016,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,E
16,39054,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,D
17,255738,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
18,18312,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,E
19,16981,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
20,4546,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN
21,39534,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,D
22,13099,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,D
23,16638,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,D
24,37924,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,D
25,49320,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,D
26,226,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B
27,1146,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN
28,128,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Freshwater Marsh,Riparian,UN
29,163934,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,D
30,19831,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Developed-Roads,Developed-Roads,Urban
31,10468,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C
32,20238,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN
33,13053,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,D
34,2877,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE
35,18812,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,D
